client,site,user,asset_id,Title,device_class,netbios_name,manufacturer,model,service_tag_serial_number,type,asset_id,asset_status,lan_ip,local_admin_username,local_admin_password,local_username,local_password,teamviewer_id,teamviewer_password,ex05_licence,ex05_recovery_key,vpn_server,vpn_domain,bios_password,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,av_installed,AV_Profile_Desktops,patch_installed,3rd_Party_Patching,patch_profile_desktops,msp_backup_schedule,local_speed_vault_unc,days,cpu,storage,ram,os_version,purchase_order_no,purchase_date,warranty_description,warranty_reference,purchase_price,purchase_supplier,warranty_expiry,warrranty_registration,wan_ip,local_speed_vault,guru_backup_schedule,guru_backup_manager,guru_patch_manager,guru_security_manager,guru_remote,agent_type,guru_agent,net_extender_domain,net_extender_vpn_url,cgss_expiry,cgss_subscription,username,admin_url,tpm_chip,_wp_old_slug,archiving,file_and_folder,system_state,exchange,ms_sql,netork_shares,date_purchased,hyper_v,vmware,vdr_select,serial_no,serial_number,asset_date_purchased,password,ex05_license,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,mac_address,screen_saver_password,asset_domain,account_type,encryption_delopyed,ex05_pin,boot_Sectory_lock_password_exo5,server_type,filewault_recovery_key,nmc_license_type,pro_license,el_3rd_party_patching,av_full_scan,ex05_recovery_pin,patch_profile_desktop,ssh_username,whm_admin,ssh_port,ssh_password,av_profile_laptop,patch_profile_laptop,server_purpose,in_a_cluser,ns1,ns2,ns3,ns4,host_name,backup_source,unique_id,_wp_page_template,in_a_cluster,av_profile_laptops,patch_profile_Laptops,filevault_recovery_key
700,704,707,709,"storage for 700 with Asset ID:",storage,QNAP001,QNAP,TS-113,ABC1234,,,Active,,,,,,,,Unchecked|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unchecked,,Unchecked,Unchecked,Unchecked,Unchecked,essentials,Unchecked,,,,,,,,12345,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,10/03/2018,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,default,,,,
700,704,711,713,"laptop-windows for 700 with Asset ID:",laptop-windows,sdfg,dell,123,12234,,,Active,,,,,,,,Unchecked|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unchecked,,Unchecked,Unchecked,Unchecked,Unchecked,essentials,Unchecked,,,,,,,,123,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,default,,,,
717,719,721,723,"workstation-mac for 717 with Asset ID:",workstation-mac,dgsdfg,sdfg,sdfg,345wegdf,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3452435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,default,,,,
727,729,731,733,"laptop-windows for 727 with Asset ID: 97",laptop-windows,7342yerh,dell,latitude3456,9gkj6ed3,,97,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,default,,,,
745,747,749,751,"workstation-mac for 745 with Asset ID: 98",workstation-mac,dgsdfg,sdfg,sdfg,sdfg,,98,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,default,,,,
753,755,757,759,"switch for 753 with Asset ID: 99",switch,asdf,asdfa143t,asdfsdfg455h,asdfsw5,,99,aaaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q2345234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,default,,,,
775,777,779,781,"laptop-windows for 775 with Asset ID: 9999",laptop-windows,site_laptop_1,asdf453456,asdf34633,asdf6623,,9999,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asdf234566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,default,,,,
775,777,779,810,"laptop-windows for 775 with Asset ID: 65",laptop-windows,read_laptop_01,Dell,mp368,82,,65,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-775-with-asset-id-00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,default,,,,
816,818,820,822,"laptop-windows for 816 with Asset ID:",laptop-windows,SSWIN10-001,Dell,Latitude,99999,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-816-with-asset-id-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,default,,,,
831,833,835,837,"laptop-windows for 831 with Asset ID:",laptop-windows,lee_laptop,Dell,dx10956,87656466674,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,laptop-windows-for-831-with-asset-id-000486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,default,,,,
