site,user,Title,id,device_class,netbios_name,manufacturer,model,service_tag_serial_number,tpm_chip,lan_ip,admin_url,username,teamviewer_id,ex05_licence,ex05_recovery_key,cgss_subscription,cgss_expiry,net_extender_vpn_url,net_extender_domain,wan_ip,guru_agent,agent_type,guru_remote,guru_security_manager,guru_patch_manager,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,guru_backup_manager,msp_backup_schedule,local_speed_vault,local_speed_vault_unc,days,archiving,file_and_folder,system_state,exchange,asset_status,ms_sql,network_shares,date_purchased,hyper_v,vmware,vdr_select,asset_id,serial_no,serial_number,asset_date_purchased,local_admin_password,os_version,password,ex05_license,tpn_chip,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,vpn_domain,vpn_server,mac_address,teamviewer_password,warranty_expiry_date,purchase_order_no,local_username,local_password,bios_password,screen_saver_password,asset_domain,account_type,encryption_deployed,ex05_pin,boot_sector_lock_password_exo5,local_admin_username,ram,purchase_price,purchase_supplier,username_password_description,physical_cloud,server_host_name,teamvieiwer_password,server_others,description,av_installed
704,707,"storage for 700 with Asset ID:",709,storage,QNAP001,QNAP,TS-113,ABC1234,,,,,,Unchecked|,,,,,,,Unchecked,essentials,Unchecked,Unchecked,Unchecked,,,,,Unchecked,,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Active,Unchecked,,10/03/2018,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,711,"laptop-windows for 700 with Asset ID:",713,laptop-windows,sdfg,dell,123,12234,,,,,,Unchecked|,,,,,,,Unchecked,essentials,Unchecked,Unchecked,Unchecked,,,,,Unchecked,,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Active,Unchecked,,,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,721,"workstation-mac for 717 with Asset ID:",723,workstation-mac,dgsdfg,sdfg,sdfg,345wegdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,731,"laptop-windows for 727 with Asset ID: 97",733,laptop-windows,7342yerh,dell,latitude3456,9gkj6ed3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,749,"workstation-mac for 745 with Asset ID: 98",751,workstation-mac,dgsdfg,sdfg,sdfg,sdfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,757,"switch for 753 with Asset ID: 99",759,switch,asdf,asdfa143t,asdfsdfg455h,asdfsw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,779,"laptop-windows for 775 with Asset ID: 9999",781,laptop-windows,site_laptop_1,asdf453456,asdf34633,asdf6623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,779,"laptop-windows for 775 with Asset ID: 65",810,laptop-windows,read_laptop_01,Dell,mp368,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,820,"laptop-windows for 816 with Asset ID:",822,laptop-windows,SSWIN10-001,Dell,Latitude,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,835,"laptop-windows for 831 with Asset ID:",837,laptop-windows,lee_laptop,Dell,dx10956,87656466674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,869,"laptop-windows for 863 with Asset ID: 1",871,laptop-windows,MYNE-WIN10-002,Dell,"XPS 89000",FS7BC72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,885,"laptop-windows for 863 with Asset ID: 733",887,laptop-windows,MYNE-WIN10-003,Dell,"Vostro 3554",j75tg7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
