client,site,user,ID,device_class,Title,netbios_name,manufacturer,model,service_tag_serial_number,tpm_chip,lan_ip,admin_url,username,teamviewer_id,ex05_licence,ex05_recovery_key,cgss_subscription,cgss_expiry,net_extender_vpn_url,net_extender_domain,wan_ip,guru_agent,agent_type,guru_remote,guru_security_manager,guru_patch_manager,patch_setting_1,patch_setting_2,patch_setting_3,patch_setting_4,guru_backup_manager,msp_backup_schedule,local_speed_vault,local_speed_vault_unc,days,archiving,file_and_folder,system_state,exchange,asset_status,ms_sql,network_shares,date_purchased,hyper_v,vmware,vdr_select,asset_id,_wp_page_template,serial_no,serial_number,cpu,storage,ram,asset_date_purchased,local_admin_password,os_version,password,ex05_license,tpn_chip,local_password,notes,nmc_agent,av_quick_scan,backup_scores,os_installation,vpn_domain,vpn_server,mac_address,teamviewer_password,warranty_expiry_date,purchase_order_no,local_username,bios_password,screen_saver_password,asset_domain,account_type,encryption_deployed,ex05_pin,boot_sector_lock_password_exo5,local_admin_username,purchase_price,purchase_supplier,server_type,filevault_recovery_key,nmc_license_type,pro_license,3rd_Party_Patching,patch_installed,3rd_Party_Profile,av_installed,AV_Profile_Desktops,av_full_scan,ex05_recovery_pin,patch_profile_desktops,ssh_username,whm_admin,ssh_port,ssh_password,purchase_date,av_profile_laptops,patch_profile_Laptops,server_purpose,in_a_cluster,ns1,ns3,ns2,ns4,host_name,backup_source,warranty_description,warranty_expiry
700,704,707,709,storage,12345,QNAP001,QNAP,TS-113,ABC1234,,,,,,Unchecked,,,,,,,Unchecked,essentials,Unchecked,Unchecked,Unchecked,,,,,Unchecked,,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Active,Unchecked,Unchecked,10/03/18,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,704,711,713,laptop-windows,123,sdfg,dell,123,12234,,,,,,Unchecked,,,,,,,Unchecked,essentials,Unchecked,Unchecked,Unchecked,,,,,Unchecked,,Unchecked,,,Unchecked,Unchecked,Unchecked,Unchecked,Active,Unchecked,Unchecked,,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,719,721,723,workstation-mac,3452435,dgsdfg,sdfg,sdfg,345wegdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,729,731,733,laptop-windows,0853,7342yerh,dell,latitude3456,9gkj6ed3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,000097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,747,749,751,workstation-mac,sdfg,dgsdfg,sdfg,sdfg,sdfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,755,757,759,switch,q2345234,asdf,asdfa143t,asdfsdfg455h,asdfsw5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aaaa,,,,,,,00099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,777,779,781,laptop-windows,asdf234566,site_laptop_1,asdf453456,asdf34633,asdf6623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,777,779,810,laptop-windows,"laptop-windows for 775 with asset ID: 00065",read_laptop_01,Dell,mp368,0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,818,820,822,laptop-windows,"laptop-windows for 816 with asset ID: 0001",SSWIN10-001,Dell,Latitude,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,833,835,837,laptop-windows,"laptop-windows for 831 with asset ID: 000486",lee_laptop,Dell,dx10956,87656466674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
